node_index,norad_cat_id,object_id,object_name,source_file,epoch
0,41917,2017-003A,IRIDIUM 106,Iridium Next.json,2026-03-26T13:25:25.301568
1,41918,2017-003B,IRIDIUM 103,Iridium Next.json,2026-03-26T03:04:22.263744
2,41919,2017-003C,IRIDIUM 109,Iridium Next.json,2026-03-26T13:16:18.253056
3,41920,2017-003D,IRIDIUM 102,Iridium Next.json,2026-03-26T22:33:26.088192
4,41921,2017-003E,IRIDIUM 105,Iridium Next.json,2026-03-26T23:21:26.976096
5,41922,2017-003F,IRIDIUM 104,Iridium Next.json,2026-03-26T12:48:53.974656
6,41923,2017-003G,IRIDIUM 114,Iridium Next.json,2026-03-26T12:58:02.261280
7,41924,2017-003H,IRIDIUM 108,Iridium Next.json,2026-03-26T23:41:34.883520
8,41925,2017-003J,IRIDIUM 112,Iridium Next.json,2026-03-26T22:42:34.279776
9,41926,2017-003K,IRIDIUM 111,Iridium Next.json,2026-03-26T12:21:30.282048
10,42803,2017-039A,IRIDIUM 113,Iridium Next.json,2026-03-26T06:51:16.835328
11,42804,2017-039B,IRIDIUM 123,Iridium Next.json,2026-03-26T21:14:42.964800
12,42805,2017-039C,IRIDIUM 120,Iridium Next.json,2026-03-26T16:44:55.261248
13,42806,2017-039D,IRIDIUM 115,Iridium Next.json,2026-03-26T21:24:45.697248
14,42807,2017-039E,IRIDIUM 118,Iridium Next.json,2026-03-26T22:00:22.960224
15,42808,2017-039F,IRIDIUM 117,Iridium Next.json,2026-03-26T22:27:46.945728
16,42809,2017-039G,IRIDIUM 126,Iridium Next.json,2026-03-26T21:23:50.955936
17,42810,2017-039H,IRIDIUM 124,Iridium Next.json,2026-03-26T14:50:20.143680
18,42811,2017-039J,IRIDIUM 128,Iridium Next.json,2026-03-26T22:50:58.781472
19,42812,2017-039K,IRIDIUM 121,Iridium Next.json,2026-03-26T21:51:14.155200
20,42955,2017-061A,IRIDIUM 133,Iridium Next.json,2026-03-26T23:36:38.733696
21,42956,2017-061B,IRIDIUM 100,Iridium Next.json,2026-03-26T23:27:30.725280
22,42957,2017-061C,IRIDIUM 122,Iridium Next.json,2026-03-26T22:41:50.741088
23,42958,2017-061D,IRIDIUM 129,Iridium Next.json,2026-03-26T23:18:22.693536
24,42959,2017-061E,IRIDIUM 119,Iridium Next.json,2026-03-26T22:32:42.648864
25,42960,2017-061F,IRIDIUM 107,Iridium Next.json,2026-03-26T23:00:06.668064
26,42961,2017-061G,IRIDIUM 132,Iridium Next.json,2026-03-26T23:09:14.727456
27,42962,2017-061H,IRIDIUM 136,Iridium Next.json,2026-03-26T22:14:26.725344
